Level 1 Group,Level 2 Group,Level 3 Group,Level 4 Group,Level 5 Group,Item Name,Quantity,Material $/Unit,Labor $/unit,Labor Rate ($/hr),Labor Productivity (units/hr),Equipment $/unit,Other $/unit,Subcontract $/unit,Subcontract Rate ($/hr),Subcontract Productivity (units/hr),Measurement Unit (Abbreviation),Description,Private Notes,Product Level 1 Group,Product Level 2 Group,Product Level 3 Group,Product Level 4 Group,Product Level 5 Group,Product Name,Vendor SKU,Incremental Order Quantity,Unit Of Purchase (Abbreviation),Price Per Unit,Waste Factor,Description.1,Private Notes.1,Tags
Utility Status:,----,----,----,----,Gas,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),On/Off/NA,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Utility Status:,----,----,----,----,Electric,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),On/Off/NA,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Utility Status:,----,----,----,----,Water,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),On/Off/NA,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Mechanical Details:,----,----,----,----,Water Heater,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),Serial #/year:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Brand:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Manufacture Date:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Mechanical Details:,----,----,----,----,Furnace:,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),Serial #/year:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Brand:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Manufacture Date:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Mechanical Details:,----,----,----,----,Condensor:,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),Serial #/year:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Brand:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Manufacture Date:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Mechanical Details:,----,----,----,----,Roof Condition,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),Shingle type,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
estimated age,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Mechanical Details:,----,----,----,----,Window Condition,0.0,0.01,----,----,----,----,----,----,----,----,Each (Ea),Single Pain?,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Double pain?,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Original?,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Estimated Age?,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Roof and Gutters,Gutter Clean & Accessories,Gutter Accessories:,GUTTERS - Down-spout Extensions,0.0,20.67,----,0.0,0,----,----,----,----,----,Each (Ea),"Install down spout extensions on all gutter down spouts where needed, screw on with self tapers.",----,(null),----,----,----,----,Amerimax Home Products StealthFlow 43 in. Black Vinyl Low Profile Downspout Extension Kit,1002834152.0,1.0,each (each),12.58,0.0,----,https://www.homedepot.com/p/Amerimax-Home-Products-StealthFlow-43-in-Black-Vinyl-Low-Profile-Downspout-Extension-Kit-4601/303522071,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Roof and Gutters,Gutter Clean & Accessories,Gutter Clean:,GUTTERS - Clean Gutters (1 story),0.0,157.98,----,----,----,----,----,----,----,----,Each (Ea),Clean debris from all gutters,Cost Codes for Exterior Structures,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Roof and Gutters,Gutter Clean & Accessories,Gutter Clean:,GUTTERS - Clean Gutters (2 Story),0.0,200,----,----,----,----,----,----,----,----,Each (Ea),Clean debris from all gutters,Cost Codes for Exterior Structures,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Roof and Gutters,----,----,GUTTERS - Replacemnet,0.0,----,----,0.0,0,----,----,----,----,----,Each (Ea),"Gutters are damaged and not functioning correctly, please have Conrex roof vendor evaluate the gutters.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Roof and Gutters,----,----,Roof Assement,0.0,----,----,----,----,----,----,----,----,----,Each (Ea),"Roof looks warn and past useful life, please nave Conrex roof vendor evaluate.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Overall Yard Packages,----,----,MANDATORY - YARD - Lawn Care Package (Large),0.0,185.5,----,0.0,0,----,----,----,----,----,Each (Ea),"Once house is completed Mow, weed eat and clean yard of all debris, trash and sticks.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Overall Yard Packages,----,----,MANDATORY - YARD - Lawn Care Package (Standard),0.0,130,----,0.0,0,----,----,----,----,----,Each (Ea),"Once house is completed Mow, weed eat and clean yard of all debris, trash and sticks.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Exterior HardScapes & Landscaping:,Exterior Back Fill,----,YARD - Fill dirt,0.0,147.162,----,----,----,----,----,----,----,----,Cubic Yards (CY),Topsoil (Per Cubic Yard),----,----,----,----,----,----,5 cu. yd. Bulk Topsoil,1001381779.0,1.0,each (each),410.81,0.0,----,https://www.homedepot.com/p/5-cu-yd-Bulk-Topsoil-SLTS5/205325474,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Exterior HardScapes & Landscaping:,Exterior Back Fill,----,YARD - Landscape rock,0.0,410.81,----,----,----,----,----,----,----,----,TON (TON),INSTALLED PER TON,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Exterior HardScapes & Landscaping:,----,----,CONCRETE - Trip Hazard,0.0,12,----,0.0,0,----,----,----,----,----,Each (Ea),Correct broken or separated concrete creating trip hazard at:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,Exterior HardScapes & Landscaping:,----,----,CLEANING - Pressure Wash - Exterior and Hard Scape.,0.0,5,----,0.0,0,----,----,----,----,----,Each (Ea),"Power wash exterior of home, to include decks, landings, exterior walls and gutters.",Cost Codes for Exterior Structures,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,----,----,----,HVAC - HVAC Grill - Clean,0.0,15,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",Exterior Wall Repair & Accessories:,----,WINDOWS - Window Well Covers,0.0,20.98,----,0.0,0,----,----,----,----,----,Each (Ea),"Install window well cover over basement window sump, screw off to secure, caulk top and sides for moisture seal.",----,----,----,----,----,----,MacCourt 42 in. x 15 in. Polyethylene Reversible Bubble Window Well Cover,932337.0,1.0,each (each),26.48,0.0,----,https://www.homedepot.com/p/MacCourt-42-in-x-15-in-Polyethylene-Reversible-Bubble-Window-Well-Cover-W4217/100567550,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",Exterior Wall Repair & Accessories:,----,MISC - Address Numbers,0.0,12.14,----,0.0,0,----,----,----,----,----,Each (Ea),Add new Six inch screw on address numbers,----,----,----,----,----,----,Everbilt 5 in. Black Floating or FLush House Number 2,1003113651.0,1.0,each (each),9.64,0.0,Per number.,https://www.homedepot.com/p/Everbilt-5-in-Black-Floating-or-FLush-House-Number-2-30726/303974717,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",Exterior Wall Repair & Accessories:,----,Vinyl Siding Repair and install.,0.0,4.0553812,----,0.0,0,----,----,----,----,----,Square Feet (SF),Color Match Vinyl siding repair/replacement:,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
To include caulking/sealing edges and touching up paint with color matching paint at the following locations:,----,----,----,----,----,----,Ply Gem Transformations Double 4.5 in. x 145 in. White Dutch Lap Vinyl Siding,1002560544.0,1.0,each (each),7.98,0.05,----,https://www.homedepot.com/p/Ply-Gem-Transformations-Double-4-5-in-x-145-in-White-Dutch-Lap-Vinyl-Siding-PCD4504H/302174964,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",Exterior Paint,----,CLEANING - Pressure Wash - Exterior Prep For Paint,0.0,190,----,0.0,0,----,----,----,----,----,Each (Ea),"Power wash exterior of home, to remove all loose paint and debris.",Cost Codes for Exterior Structures,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",01. Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",----,----,MISC - Satellite Dish - Remove,0.0,25,----,0.0,0,----,----,----,----,----,Each (Ea),"Remove satellite dish. Cut and cap wires. If attached to roof, leave bracket.",Cost Codes for Misc.,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,"Deck/Porch: Repair, Rebuild, Stain & Refresh...",----,----,HAND RAIL - Replace/Install,0.0,225,----,0.0,0,----,----,----,----,----,Each (Ea),Install/replace handrail at front of home leading up to entry door.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,"Deck/Porch: Repair, Rebuild, Stain & Refresh...",----,----,DECK - Lag Bolt - Add,0.0,8.22,----,0.0,0,----,----,----,----,----,Each (Ea),Add lag bolts every six inches or in-between every floor joist for the length of where the deck connects to the house.,----,----,----,----,----,----,Everbilt 5/16 in. x 6 in. Zinc Plated Hex Drive Hex Head Lag Screw,274394.0,1.0,each (each),1.17,0.0,----,https://www.homedepot.com/p/Everbilt-5-16-in-x-6-in-Zinc-Plated-Hex-Drive-Hex-Head-Lag-Screw-801516/204645631,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,"Deck/Porch: Repair, Rebuild, Stain & Refresh...",----,----,DECK - Stain,0.0,200.1499333,----,0.0,0,----,----,----,----,----,Each (Ea),Deck Stain Color Match Refresh,Cost Codes for Exterior Structures,----,----,----,----,----,BEHR PREMIUM 1 gal. Cedar Naturaltone Transparent Waterproofing Exterior Wood Finish,208561.0,1.0,each (each),45.98,0.0,----,https://www.homedepot.com/p/BEHR-PREMIUM-1-gal-Cedar-Naturaltone-Transparent-Waterproofing-Exterior-Wood-Finish-50101/100112585,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Outlets & Accessories:,Exterior Outlet Accessories:,ELECTRICAL - GFCI - Weatherproof Cover,0.0,45.09,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,"TAYMAC N3R In-Use Cover Kit - Extra Duty 15A WRTR Self-Test GFCI Outlet, Aluminum 1-Gang Box, Clear In-Use Outlet Cover",1000010764.0,1.0,each (each),29.99,0.0,----,https://www.homedepot.com/p/TAYMAC-N3R-In-Use-Cover-Kit-Extra-Duty-15A-WRTR-Self-Test-GFCI-Outlet-Aluminum-1-Gang-Box-Clear-In-Use-Outlet-Cover-MG420CS/206974012,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Outlets & Accessories:,Exterior Outlets:,ELECTRICAL - GFCI Outlet - Replace,0.0,48.63,----,0.0,0,----,----,----,----,----,Each (Ea),Replace/install GFCI outlet,----,(null),----,----,----,----,"Leviton 15 Amp 125-Volt Duplex Self-Test SmartlockPro Tamper Resistant AFCI/GFCI Dual Function Outlet, White",1001708951.0,1.0,each (each),32.1,0.0,----,https://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Duplex-Self-Test-SmartlockPro-Tamper-Resistant-AFCI-GFCI-Dual-Function-Outlet-White-R92-AGTR1-0KW/206804820,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,ELECTRICAL - LIGHTING - Flood Lights (Sensor),0.0,59.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replace Exterior flood light.,----,----,----,----,----,----,Defiant 180 Degree Black Motion-Sensing Outdoor Security Light,703390.0,1.0,each (each),29.97,0.0,----,https://www.homedepot.com/p/Defiant-180-Degree-Black-Motion-Sensing-Outdoor-Security-Light-DF-5416-BK-A/203716689,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,ELECTRICAL - LIGHTING - Flood Lights (No Sensor),0.0,74.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replace Exterior flood light.,----,(null),----,----,----,----,Commercial Electric Twin-Head Directional Bronze Outdoor Integrated LED Flood Light for Outdoor Security Lighting with Photocell,1006559579.0,1.0,each (each),49.97,0.0,----,https://www.homedepot.com/p/Commercial-Electric-Twin-Head-Directional-Bronze-Outdoor-Integrated-LED-Flood-Light-for-Outdoor-Security-Lighting-with-Photocell-TPAR2-PC-BZ/317640422,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Entry Light (Standard),0.0,74.97,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo of existing, Install of new, caulk for seal.",----,(null),----,----,----,----,Hampton Bay 1-Light Black Outdoor Wall Lantern Sconce (2-Pack),1002956547.0,1.0,each (each),49.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-1-Light-Black-Outdoor-Wall-Lantern-Sconce-2-Pack-JBO1691A-4/303832799,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Entry Lights: (Upgrade),0.0,80,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo of existing, Install of new, caulk for seal.",----,----,----,----,----,----,LNC Modern Frosted Black Porch Outdoor Wall Sconce 1-Light Classic Exterior Lantern with Mushroom Clear Seeded Glass Shade,1006750272.0,1.0,each (each),63.99,0.0,----,https://www.homedepot.com/p/LNC-Modern-Frosted-Black-Porch-Outdoor-Wall-Sconce-1-Light-Classic-Exterior-Lantern-with-Mushroom-Clear-Seeded-Glass-Shade-VAFNYAHD13356V6/318082135,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Ceiling Mount Light,0.0,59,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Acclaim Lighting Builder's Choice Collection Ceiling-Mount 2-Light Matte Black Outdoor Light Fixture,1000557617.0,1.0,each (each),48.5,0.0,----,https://www.homedepot.com/p/Acclaim-Lighting-Builder-s-Choice-Collection-Ceiling-Mount-2-Light-Matte-Black-Outdoor-Light-Fixture-4902BK/204085901,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Outdoor Fan With Light,0.0,169,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Exterior Ceiling Fan.,----,----,----,----,----,----,Hampton Bay Gazebo III 52 in. Indoor/Outdoor Natural Iron Ceiling Fan with Light Kit,1004757258.0,1.0,each (each),125.81,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Gazebo-III-52-in-Indoor-Outdoor-Natural-Iron-Ceiling-Fan-with-Light-Kit-YG836A-NI/311323553,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Outdoor Fan Without Light.,0.0,149,----,----,----,----,----,----,----,----,Each (Ea),Installation of Exterior Ceiling Fan.,----,----,----,----,----,----,Hampton Bay North Pond 52 in. Indoor/Outdoor Matte Black Ceiling Fan with Downrod and Reversible Motor; Light Kit Adaptable,1002264684.0,1.0,each (each),109.0,0.0,----,https://www.homedepot.com/p/Hampton-Bay-North-Pond-52-in-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Downrod-and-Reversible-Motor-Light-Kit-Adaptable-51718/300654442,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Solar Landscape Lights,0.0,84.97,----,0.0,0,----,----,----,----,----,Each (Ea),6-pack,----,----,----,----,----,----,Hampton Bay Grant Solar 10 Lumens Dark Bronze Outdoor Integrated LED 3000K Warm White Landscape Path Light (6-Pack),1002643994.0,1.0,each (each),16.59,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Grant-Solar-10-Lumens-Dark-Bronze-Outdoor-Integrated-LED-3000K-Warm-White-Landscape-Path-Light-6-Pack-84101/301712164,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Bulbs:,ELECTRICAL - LIGHTING -LED Flood,0.0,13.18,----,----,----,----,----,----,----,----,Each (Ea),Replace Bulb LED,Cost Codes for Lighting,(null),----,----,----,----,EcoSmart 120-Watt Equivalent PAR38 Dimmable Energy Star Flood LED Light Bulb Bright White (2-Pack),1001654080.0,0.5,each (each),16.11,0.0,----,https://www.homedepot.com/p/EcoSmart-120-Watt-Equivalent-PAR38-Dimmable-Energy-Star-Flood-LED-Light-Bulb-Bright-White-2-Pack-B7PR38P120ESD01/303574492,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Exterior Lighting & Electrical...,Exterior Lighting:,Bulbs:,ELECTRICAL - LIGHTING - LED BULB,0.0,9.47,----,0.0,0,----,----,----,----,----,Each (Ea),Instal 5000k LED 100 watt equivalent bulb.,----,----,----,----,----,----,Cree 100-Watt Equivalent A19 Dimmable Exceptional Light Quality LED Light Bulb Daylight (5000K),1004852968.0,1.0,each (each),8.93,0.0,----,https://www.homedepot.com/p/Cree-100-Watt-Equivalent-A19-Dimmable-Exceptional-Light-Quality-LED-Light-Bulb-Daylight-5000K-TA19-16050MDFH25-12DE26-1-11/311407015,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Interior:,Door Replacement:,Fire Rated Door Closer Hinges.,0.0,33.49,----,0.0,0,----,----,----,----,----,Each (Ea),Hinge need to make interior garage entry door self closing.,----,----,----,----,----,----,Dynasty Hardware 4 in. x 4 in. Satin Nickel 5/8 in. Radius Adjustable Spring Door Hinge (2-Pack),1002357213.0,1.0,box (box),24.25,0.0,----,https://www.homedepot.com/p/Dynasty-Hardware-4-in-x-4-in-Satin-Nickel-5-8-in-Radius-Adjustable-Spring-Door-Hinge-2-Pack-SP-40-58-US15-2PK/301399076,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Interior:,Door Replacement:,Fire Rated Interior door,0.0,839,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Fire Rated interior door.,----,----,----,----,----,----,MMI Door 32 in. x 80 in. Rockport Right-Hand Primed Composite 20 Min. Fire-Rated House-to-Garage Single Prehung Interior Door,1001812367.0,1.0,each (each),898.0,0.0,----,https://www.homedepot.com/p/MMI-Door-32-in-x-80-in-Rockport-Right-Hand-Primed-Composite-20-Min-Fire-Rated-House-to-Garage-Single-Prehung-Interior-Door-Z020495R/207080938,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Interior:,Door Replacement:,DOORS - Slab Door - Replace,0.0,149,----,42.0,0,----,----,----,----,----,Each (Ea),Replace door slab only,Cost Codes for Doors,(null),----,----,----,----,JELD-WEN 30 in. x 80 in. 6 Panel Colonist Primed Textured Molded Composite MDF Interior Door Slab,198225.0,1.0,each (each),107.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-30-in-x-80-in-6-Panel-Colonist-Primed-Textured-Molded-Composite-MDF-Interior-Door-Slab-THDQC236300003/202036884,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Interior:,Door Replacement:,DOORS-Pre Hung Door,0.0,251,----,0.0,0,----,----,----,----,----,Each (Ea),Prep and install interior door and jamb.,----,----,----,----,----,----,JELD-WEN Molded Single Prehung Interior Door Collection,1005161015.0,1.0,each (each),186.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-Molded-Single-Prehung-Interior-Door-Collection-553146-6/312541059,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,Exterior Entry Doors,Exterior Door,0.0,246,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of new exterior door.,----,----,----,----,----,----,Steves & Sons Element Series 6-Panel White Primed Steel Front Door Slab,1001251552.0,1.0,each (each),196.0,0.0,----,https://www.homedepot.com/p/Steves-Sons-32-in-x-79-in-Element-Series-6-Panel-Primed-White-Steel-Front-Door-Slab-STL6PX3280/205741573,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,Exterior Entry Doors,PAINT - Front Door,0.0,80,----,0.0,0,----,----,----,----,----,Each (Ea),"Scrape, prep and paint front door black",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,Exterior Entry Doors,Front Door (Standard),0.0,630.51,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality front door.,----,----,----,----,----,----,JELD-WEN 36 in. x 80 in. Camber Top Mission Prairie Primed Steel Prehung Left-Hand Inswing Front Door w/Brickmould,534066.0,1.0,each (each),628.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-36-in-x-80-in-Camber-Top-Mission-Prairie-Primed-Steel-Prehung-Left-Hand-Inswing-Front-Door-w-Brickmould-THDJW166700576/202036118,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,Storm Door Repair & Replace & Demo,Storm Door Pistion,0.0,44.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replacement of faulty storm door piston.,----,----,----,----,----,----,Wright Products Medium Duty Hydraulic White Door Closer,1001606785.0,1.0,each (each),31.79,0.0,----,https://www.homedepot.com/p/Wright-Products-Medium-Duty-Hydraulic-White-Door-Closer-VH440WH/206520378,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,Storm Door Repair & Replace & Demo,DOORS - DEMO - Front Storm/Security door,0.0,55,----,0.0,0,----,----,----,----,----,Each (Ea),"Remove, patch any holes from removal, touch up paint.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,Storm Door Repair & Replace & Demo,Storm Door (Standard),0.0,219,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality storm door.,----,----,----,----,----,----,EMCO 36 in. x 80 in. 100 Series White Self-Storing Storm Door,818771.0,1.0,each (each),178.0,0.0,----,https://www.homedepot.com/p/EMCO-36-in-x-80-in-100-Series-White-Self-Storing-Storm-Door-E1SS-36WH/100081634,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,Storm Door Repair & Replace & Demo,Storm Door (Upgraded),0.0,319,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of an Upgraded quality of storm door.,----,----,----,----,----,----,Andersen 36 in. x 80 in. 3000 Series White Right-Hand Self-Storing Easy Install Aluminum Storm Door,975549.0,1.0,each (each),344.0,0.0,----,https://www.homedepot.com/p/Andersen-36-in-x-80-in-3000-Series-White-Right-Hand-Self-Storing-Easy-Install-Aluminum-Storm-Door-H3SER36WH/202985075,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,"Back Slider repair, Replacment & Accessories",Replace Sliding Glass Door,0.0,1679.04,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,MP Doors 72 in. x 80 in. Smooth White Left-Hand Composite Sliding Patio Door with 15-Lite GBG,1000337878.0,1.0,each (each),1428.0,0.0,----,https://www.homedepot.com/p/MP-Doors-72-in-x-80-in-Smooth-White-Left-Hand-Composite-Sliding-Patio-Door-with-15-Lite-GBG-G6068L002W3/203188687,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,"Back Slider repair, Replacment & Accessories",DOORS - SLIDER - Clean Track,0.0,43.48,----,0.0,0,----,----,----,----,----,Each (Ea),Clean and grease sliding door track and adjust for proper functionality.,----,----,----,----,----,----,"WD-40 SPECIALIST 10 oz. White Lithium Grease, Long-Lasting Grease Spray",1004795364.0,1.0,each (each),8.48,0.0,----,https://www.homedepot.com/p/WD-40-SPECIALIST-10-oz-White-Lithium-Grease-Long-Lasting-Grease-Spray-30061/311360785,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,"Back Slider repair, Replacment & Accessories",DOORS - SLIDER - Securtity/Charlie bar,0.0,46.78,----,0.0,0,----,----,----,----,----,Each (Ea),Install permanently mounted back sliding door security bar,----,----,----,----,----,----,"Prime-Line 28 in. to 48 in., Aluminum, White, Security Bar Lock",633365.0,1.0,each (each),19.5,0.0,----,https://www.homedepot.com/p/Prime-Line-28-in-to-48-in-Aluminum-White-Security-Bar-Lock-U-9921/100176808,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Exterior:,"Back Slider repair, Replacment & Accessories",Back Screen Door Slider,0.0,109,----,----,----,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,36 in. x 80 in. Adjustable Fit White Premium Patio Sliding Screen Door,1005447860.0,1.0,piece (piece),105.0,0.0,----,https://www.homedepot.com/p/36-in-x-80-in-Adjustable-Fit-White-Premium-Patio-Sliding-Screen-Door-PSD36W/315879837,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Door Accessories & Hardware,----,DOORS - Door Bell - Wireless Install,0.0,47.97,----,0.0,0,----,----,----,----,----,Each (Ea),Remove existing door bell (if present - To include video doorbells) and install wireless doorbell.,----,----,----,----,----,----,"Hampton Bay Wireless Plug-In Doorbell Kit with Wireless Push Button, White",1003008627.0,1.0,each (each),27.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Wireless-Plug-In-Doorbell-Kit-with-Wireless-Push-Button-White-HB-7731-03/304225375,----
